vol,db
0.9817259907722473,-0.16019421815872192 
1,-0 
0.9817259907722473,-0.16019421815872192 
0.9635101556777954,-0.3228740692138672 
0.9449645280838013,-0.49168989062309265 
0.9264966249465942,-0.6631231307983398 
0.9077135920524597,-0.8410232663154602 
0.9075109958648682,-0.8429621458053589 
0.9073084592819214,-0.8449008464813232 
0.9071059226989746,-0.8468399047851562 
0.9069033861160278,-0.848779559135437 
0.9067007303237915,-0.8507207036018372 
0.9064981341362,-0.8526617288589478 
0.9077135920524597,-0.8410232663154602 
0.9075109958648682,-0.8429621458053589 
0.9073084592819214,-0.8449008464813232 
0.9071059226989746,-0.8468399047851562 
0.9069033861160278,-0.848779559135437 
0.9067007303237915,-0.8507207036018372 
0.9064981341362,-0.8526617288589478 
0.9077135920524597,-0.8410232663154602 
0.9075109958648682,-0.8429621458053589 
0.9073084592819214,-0.8449008464813232 
0.9071059226989746,-0.8468399047851562 
0.9069033861160278,-0.848779559135437 
0.9067007303237915,-0.8507207036018372 
0.9064981341362,-0.8526617288589478 
0.9077135920524597,-0.8410232663154602 
0.9075109958648682,-0.8429621458053589 
0.9073084592819214,-0.8449008464813232 
0.9071059226989746,-0.8468399047851562 
0.9069033861160278,-0.848779559135437 
0.9067007303237915,-0.8507207036018372 
0.9064981341362,-0.8526617288589478 
0.8888252973556519,-1.0236718654632568 
0.8886216878890991,-1.025661826133728 
0.8884180188179016,-1.0276528596878052 
0.8882143497467041,-1.029644250869751 
0.8888252973556519,-1.0236718654632568 
0.8886216878890991,-1.025661826133728 
0.8884180188179016,-1.0276528596878052 
0.8882143497467041,-1.029644250869751 
0.8888252973556519,-1.0236718654632568 
0.8886216878890991,-1.025661826133728 
0.8884180188179016,-1.0276528596878052 
0.8882143497467041,-1.029644250869751 
0.8888252973556519,-1.0236718654632568 
0.8886216878890991,-1.025661826133728 
0.8884180188179016,-1.0276528596878052 
0.8882143497467041,-1.029644250869751 
0.8700461387634277,-1.2091543674468994 
0.8509780764579773,-1.40163254737854 
0.8507726788520813,-1.4037293195724487 
0.8509780764579773,-1.40163254737854 
0.8507726788520813,-1.4037293195724487 
0.8509780764579773,-1.40163254737854 
0.8507726788520813,-1.4037293195724487 
0.8509780764579773,-1.40163254737854 
0.8507726788520813,-1.4037293195724487 
0.83204185962677,-1.5970964431762695 
0.8128368854522705,-1.7999320030212402 
0.7935802936553955,-2.0081825256347656 
0.7744916081428528,-2.21966552734375 
0.7742840647697449,-2.2219934463500977 
0.7744916081428528,-2.21966552734375 
0.7742840647697449,-2.2219934463500977 
0.7744916081428528,-2.21966552734375 
0.7742840647697449,-2.2219934463500977 
0.7744916081428528,-2.21966552734375 
0.7742840647697449,-2.2219934463500977 
0.7551684379577637,-2.4391233921051025 
0.7549605369567871,-2.4415149688720703 
0.7547527551651001,-2.443905830383301 
0.7551684379577637,-2.4391233921051025 
0.7549605369567871,-2.4415149688720703 
0.7547527551651001,-2.443905830383301 
0.7551684379577637,-2.4391233921051025 
0.7549605369567871,-2.4415149688720703 
0.7547527551651001,-2.443905830383301 
0.7551684379577637,-2.4391233921051025 
0.7549605369567871,-2.4415149688720703 
0.7547527551651001,-2.443905830383301 
0.7360389232635498,-2.6619842052459717 
0.71670001745224,-2.893251895904541 
0.6975809335708618,-3.128108024597168 
0.6973733305931091,-3.1306934356689453 
0.6971656084060669,-3.1332807540893555 
0.6975809335708618,-3.128108024597168 
0.6973733305931091,-3.1306934356689453 
0.6971656084060669,-3.1332807540893555 
0.6975809335708618,-3.128108024597168 
0.6973733305931091,-3.1306934356689453 
0.6971656084060669,-3.1332807540893555 
0.6975809335708618,-3.128108024597168 
0.6973733305931091,-3.1306934356689453 
0.6971656084060669,-3.1332807540893555 
0.6975809335708618,-3.128108024597168 
0.6973733305931091,-3.1306934356689453 
0.6971656084060669,-3.1332807540893555 
0.6782799959182739,-3.3718199729919434 
0.6780726313591003,-3.3744759559631348 
0.6782799959182739,-3.3718199729919434 
0.6780726313591003,-3.3744759559631348 
0.6782799959182739,-3.3718199729919434 
0.6780726313591003,-3.3744759559631348 
0.6782799959182739,-3.3718199729919434 
0.6780726313591003,-3.3744759559631348 
0.6590192914009094,-3.622037410736084 
0.6400192975997925,-3.876138687133789 
0.6208816766738892,-4.139822959899902 
0.6020327210426331,-4.40759801864624 
0.6018282771110535,-4.410548210144043 
0.6020327210426331,-4.40759801864624 
0.6018282771110535,-4.410548210144043 
0.6020327210426331,-4.40759801864624 
0.6018282771110535,-4.410548210144043 
0.6020327210426331,-4.40759801864624 
0.6018282771110535,-4.410548210144043 
0.6020327210426331,-4.40759801864624 
0.6018282771110535,-4.410548210144043 
0.5830776691436768,-4.685472011566162 
0.5642372965812683,-4.97076416015625 
0.5457276105880737,-5.260481357574463 
0.5271613597869873,-5.561128616333008 
0.5089536309242249,-5.866436004638672 
0.5087565183639526,-5.869800567626953 
0.5085597038269043,-5.8731608390808105 
0.5089536309242249,-5.866436004638672 
0.5087565183639526,-5.869800567626953 
0.5085597038269043,-5.8731608390808105 
0.5089536309242249,-5.866436004638672 
0.5087565183639526,-5.869800567626953 
0.5085597038269043,-5.8731608390808105 
0.5089536309242249,-5.866436004638672 
0.5087565183639526,-5.869800567626953 
0.5085597038269043,-5.8731608390808105 
0.49072372913360596,-6.183259010314941 
0.4726862907409668,-6.508540153503418 
0.4550473392009735,-6.838868141174316 
0.43743863701820374,-7.181656837463379 
0.4202541708946228,-7.529759407043457 
0.40313488245010376,-7.890992164611816 
0.386283814907074,-8.261869430541992 
